Frequency_1,Frequency_2,Frequency_3,Frequency_4,Frequency_5,Frequency_6,Frequency_7,Frequency_8,Frequency_9,Frequency_10,Mean Frequency,Max Amplitude Frequency,Spectral Std Dev,Spectral Energy,Spectral Skewness,mean,absolute_mean,absolute_max,std,variance,peak_to_peak,peak,skewness,kurtosis,rms,crest_factor,impulse_factor,margin,power,shape_factor,clearance_factor,BPFO_data,BPFI_data,Hz,rpm,fault_type
30.0,60.0,9.0,21.0,90.0,39.0,51.0,158.0,98.0,68.0,4179.343396706447,2677.0,2653.67680212028,1826382735.6851635,5.227652977723331,2.841233788271562e-05,0.9837514189993878,42.172274355350005,2.3609564525500955,5.574115370837931,81.48493209274,39.31265773739,-0.21661436441774254,50.23153717433997,2.360910338038644,16.651482736972333,42.868832045238705,39.312629325052114,5.573897624257743,2.399905395247123,7.566029589746178,8399.914758702464,4325.893033059612,25600,1800,1
30.0,60.0,158.0,39.0,188.0,90.0,128.0,89.0,9.0,69.0,4082.227522861694,2891.0,2791.7326946862167,3800051163.8537517,11.297647426901335,-0.006515549877397944,1.4547025301298868,51.21585390816001,3.405532428244487,11.597651119824793,89.22745143356,38.0115975254,-0.8970440547839247,30.691037025002956,3.4054721436639173,11.161917032891557,35.20709756625437,38.0181130752774,11.597240521270916,2.341009294429323,4.416210374720018,19165.40644257415,17576.165643928314,25600,1800,1
30.0,60.0,158.0,188.0,89.0,128.0,90.0,59.0,218.0,119.0,4306.796630888327,2860.0,2832.8231172307305,5054293009.875287,15.10716077251288,0.002396848129541753,1.639556129197699,51.21585390816001,3.9275527394356162,15.425670521048215,98.07601269257,46.860158784410004,-0.19802670065068756,29.16320194130661,3.9274767570458926,11.931365017079449,31.237633769343407,46.85776193628046,15.425073677135721,2.3954512365293437,3.320298818674445,18716.323861801277,17879.27961574253,25600,1800,1
30.0,60.0,188.0,158.0,90.0,128.0,218.0,39.0,89.0,119.0,4453.107119442083,2891.0,2796.676180661672,3997254503.2905083,10.491228357442786,-1.4009633313809982e-05,1.3963492196742742,51.22196212239,3.4927934625394985,12.19960617195866,100.39270668636001,51.22196212239,-0.22356956780107035,41.728052880396454,3.4927252406141225,14.665328244767315,36.68277347864206,51.221976132023315,12.19912960642298,2.50132645286891,4.198821045021201,14014.586956995303,8884.645321121523,25600,1800,1
30.0,60.0,158.0,188.0,128.0,90.0,218.0,98.0,39.0,89.0,4441.973348848577,2673.0,2736.22197294207,2112629205.2628438,6.298033673671696,0.003638391189149947,1.02638416660128,41.12188897494,2.5392295811429797,6.447686865751551,81.11422026719,41.12188897494,0.46097146148584817,51.90522566838534,2.539182591117676,16.194931833098035,40.06481229256398,41.11825058375085,6.447448231035075,2.4739105237036196,6.37800995082023,9057.216007006085,4160.938420695332,25600,1800,1
30.0,60.0,98.0,68.0,128.0,158.0,38.0,90.0,21.0,188.0,4372.80258088163,2672.0,2730.6587474107637,1565044361.3300214,5.876141274377789,0.0010189123432243457,0.8700343625852512,40.20692468467001,2.185516096489246,4.776480608013593,76.18907416593001,35.98214948126,-0.03289327868939758,76.13889288792426,2.185473646062472,16.464233987029946,46.213030672946886,35.981130568916775,4.776295057633595,2.5119394589984667,8.418015260679988,9961.242328259948,5020.578777069571,25600,1800,1
30.0,60.0,9.0,68.0,98.0,21.0,90.0,158.0,38.0,128.0,4405.918094229283,2702.0,2771.7410947577832,1460122635.6130245,8.403327088016491,-0.0001089203802156377,0.8729139902563625,46.81596888269001,2.1109931711741914,4.456292168744068,86.77380501867,39.95783613598,-0.3734928370087125,77.97872845089785,2.1109519416355393,18.92882322324267,53.63182330133215,39.95794505636022,4.456118099894853,2.4182817152645044,10.505998232810454,7068.739206578875,5475.912512475191,25600,1800,1
30.0,60.0,9.0,90.0,21.0,158.0,39.0,128.0,98.0,188.0,4054.497824452777,2801.0,2742.5369335163496,2942125774.200628,9.082588737173522,-0.007489432714485752,1.2605335752469318,46.050580084340005,2.9965322396422374,8.979205463215324,87.49326010931,41.44268002497,-0.658861762404865,37.602879863132344,2.9964830703514047,13.830440236763934,36.5326088797904,41.45016945768449,8.978910790902582,2.3771545075778007,5.128749038357568,15442.187193899452,14381.984989407236,25600,1800,1
30.0,60.0,158.0,90.0,188.0,128.0,89.0,98.0,218.0,59.0,4189.9487633598765,2861.0,2792.3283251568787,4916848331.367793,12.68414136135348,-0.0013213742721442025,1.6399255317823538,51.21585390816001,3.873782019411863,15.006187133918651,98.22766170206,47.011807793900005,-0.6877193272082758,30.91970140650136,3.8737065812816875,12.13613029470737,31.230597314071957,47.01312916817215,15.00560267786506,2.362123466101261,3.4131154214624857,19837.925634721003,18385.288159621738,25600,1800,1
30.0,60.0,158.0,188.0,90.0,128.0,89.0,98.0,218.0,59.0,4273.3308021928915,2860.0,2710.985829133416,4991258854.882754,11.094305883021748,0.006016730163370837,1.61084318997308,51.21585390816001,3.902977104403464,15.233230277497647,100.30015542470001,49.08430151654,-0.5153562857671604,31.765263477099367,3.9029055083664095,12.57634893064183,31.794437985621627,49.07828478637663,15.232671407236861,2.4228959917766013,3.3622371637208666,16133.839026038659,13721.794632093746,25600,1800,1
30.0,60.0,158.0,188.0,128.0,90.0,98.0,218.0,89.0,9.0,4397.163042608582,2800.0,2709.1905413209415,3222518625.6990385,6.848943935984539,0.0026398877808492334,1.241747936753508,50.14702055235001,3.1360961142199018,9.835098837625168,97.78195270360001,47.63493215125,-0.20779449473780112,43.95434787771282,3.136035970469177,15.189536280772767,40.38421894499543,47.63229226346915,9.834721608076554,2.5255012532319534,5.098977129273068,9336.582761119811,7199.477106646601,25600,1800,1
